date	13101	13102	13103	13104	13105	13106	13107	13108	13109	13110	13111	13112	13113	13114	13115	13116	13117	13118	13119	13120	13121	13122	13123	13201	13202	13203	13204	13205	13206	13207	13208	13209	13210	13211	13212	13213	13214	13215	13218	13219	13220	13221	13222	13223	13224	13225	13227	13228	13229	13303	13305	13307	13308
大正 9年	217682	269812	330004	290398	282080	439596	320695	254324	121077	22287	78522	39952	137207	29198	18099	109803	94729	121412	31615	21867	60780	27661	39386	78705	9987	4931	5725	33097	12032	5896	8619	23620	3866	6068	8150	7798	4618	2611	5031	2679	5017	3083	4605	7165	4111	3962	5113	19363	6732	4998	5651	5389	9514
大正14年	184908	225365	320541	339360	287699	404754	327604	273384	232447	63019	152005	87965	190774	85294	65981	198075	166863	218428	50746	30730	89226	49415	64530	86734	13892	10366	6459	35928	14787	6786	10006	24704	4296	6054	8738	8470	5439	2717	5907	2854	5048	3344	4815	7127	4384	4006	5564	20212	7671	5204	5797	5430	9880
昭和 5年	188687	239533	322487	357655	288242	415672	390843	319786	311604	108208	245457	149323	213533	134098	134529	236701	227419	280616	72080	41506	127507	84456	96971	95389	19275	17229	8218	37422	16558	7500	11398	26669	6129	6558	9175	9462	6454	3814	6005	3957	5442	3584	5153	7891	4497	4193	5800	21127	8972	5710	6659	5513	10896
昭和10年	197233	261205	337333	375848	288350	464217	464892	385222	366125	152187	348941	210701	234850	178383	190217	268015	285561	326210	150868	0	174612	105682	129230	106050	26354	25221	11810	38495	22104	7680	13779	27646	8416	7041	9890	9934	7242	4078	6370	4267	5780	4257	5345	8325	4557	4264	5618	21315	9848	6341	6538	5453	10470
昭和15年	186699	244046	336312	394480	300801	460254	479809	419154	419403	198795	531784	281804	256706	214117	245435	312209	351009	351281	233115	0	231246	153041	177304	111028	41070	41767	24247	39231	26110	13936	17825	32020	12650	8674	12476	11402	9324	4716	7921	5657	8152	7203	6168	8989	5158	5337	5878	21827	16313	6851	6673	5693	12543
昭和19年	150748	188871	291997	359601	270993	403420	438114	396337	395770	202533	564784	303473	239499	216724	259746	302057	341552	334380	271226	0	250553	181574	194209	114395	60412	54249	36943	40321	30003	21088	22539	37769	15566	11893	18084	12886	11328	6697	9575	8895	13580	7886	6508	9216	5814	6098	6379	22335	27650	7222	6707	5554	11419
昭和20年	44412	76220	96604	83106	92748	84569	77595	25208	143490	121333	213000	276450	84067	124011	211229	92192	138301	84010	217974	0	172437	171557	146497	116573	43486	47042	35024	53669	34926	18675	26590	50528	16053	13568	20744	15076	13244	8421	9918	8737	11190	6857	7803	10829	7694	8151	8267	30650	18175	8449	9327	7103	16297
昭和21年	57882	103494	124382	111318	116701	118077	105614	45297	181602	148239	266225	323910	103970	147247	255785	115399	171989	108573	158865	97624	204755	204956	170202	113336	49900	55669	41830	50935	35673	23652	27893	49317	17655	14090	21720	14330	14207	8738	10467	8828	11447	7464	7943	10510	7183	8291	8015	28459	20910	8341	8493	6370	14495
昭和22年	89681	139179	164966	153924	144858	195943	173601	96870	219500	170022	313746	356170	131682	168215	284493	149597	202585	144837	177282	111792	233217	181966	173422	120520	58923	63479	50699	51920	40987	33078	30852	50383	19565	16976	22944	17099	16375	11262	14066	9237	11746	8863	8293	10775	7356	9324	8200	28580	24290	8860	8518	6642	14734
昭和23年	98715	150436	183188	175890	158649	220325	180606	118105	240182	181058	339720	373165	146793	179831	298052	168756	220802	162734	189491	113683	240891	225029	189464	124297	62304	66571	52396	52758	42870	39672	32248	51111	21722	17732	23793	16673	17881	11125	20345	9735	12005	7716	8358	10830	7679	9534	8665	28751	25655	9039	8779	6758	15210
昭和25年	110348	161925	216120	246373	190746	262159	236242	182489	288545	204382	400406	408226	181244	213461	326610	217141	267209	201248	223003	125197	268304	244832	208861	131470	63218	73149	54820	53166	45295	31692	34865	52486	22604	21659	24444	17993	19125	14333	14669	10124	12366	11610	8415	10989	7799	9824	8373	28162	28343	9210	8436	6373	16287
昭和30年	122745	171316	254592	348675	236971	310058	305590	277971	373341	253941	568498	523630	243410	289165	405665	300557	351532	253323	311225	185814	332181	294133	254771	148131	76313	94948	69466	55218	58937	38519	45362	58342	30338	29175	27305	24102	25755	23125	19096	14669	12975	14544	10319	11799	7600	10086	10104	28929	42777	9607	8305	5940	15594
昭和35年	116944	161299	267024	413690	259383	318889	331843	351053	427859	293763	706219	653210	282687	351360	487210	363193	418603	285480	412605	305628	408768	376724	316593	164622	81938	120337	98038	56896	82098	44805	68621	71269	45734	52923	43394	42946	39098	32609	21998	25252	14239	17863	19637	12065	9746	11012	11003	29286	78091	12092	8047	5650	13785
